	Token	Polarity	StdDev	Grades
0	$:	-1.5	0.80623	[-1, -1, -1, -1, -3, -1, -3, -1, -2, -1]
1	%)	-0.4	1.0198	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
2	%-)	-1.5	1.43178	[-2, 0, -2, -2, -1, 2, -2, -3, -2, -3]
3	&-:	-0.4	1.42829	[-3, -1, 0, 0, -1, -1, -1, 2, -1, 2]
4	&:	-0.7	0.64031	[0, -1, -1, -1, 1, -1, -1, -1, -1, -1]
5	( '}{' )	1.6	0.66332	[1, 2, 2, 1, 1, 2, 2, 1, 3, 1]
6	(%	-0.9	0.9434	[0, 0, 1, -1, -1, -1, -2, -2, -1, -2]
7	('-:	2.2	1.16619	[4, 1, 4, 3, 1, 2, 3, 1, 2, 1]
8	(':	2.3	0.9	[1, 3, 3, 2, 2, 4, 2, 3, 1, 2]
9	((-:	2.1	0.53852	[2, 2, 2, 1, 2, 3, 2, 2, 3, 2]
10	(*	1.1	1.13578	[2, 1, 1, -1, 1, 2, 2, -1, 2, 2]
11	(-%	-0.7	1.26886	[-1, 2, 0, -1, -1, -2, 0, 0, -3, -1]
12	(-*	1.3	1.26886	[4, 1, 2, 0, 2, -1, 1, 2, 1, 1]
13	(-:	1.6	0.8	[2, 2, 1, 3, 1, 1, 1, 3, 1, 1]
14	(-:0	2.8	0.87178	[3, 2, 3, 4, 3, 2, 3, 1, 4, 3]
15	(-:<	-0.4	2.15407	[-3, 3, -1, -1, 2, -1, -2, 3, -3, -1]
16	(-:o	1.5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
17	(-:O	1.5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
18	(-:{	-0.1	1.57797	[-2, -3, 1, -2, 1, 1, 0, 0, 2, 1]
19	(-:|>*	1.9	0.83066	[3, 2, 2, 1, 0, 2, 3, 2, 2, 2]
20	(-;	1.3	1.18743	[3, 2, 3, 0, 1, -1, 1, 2, 1, 1]
21	(-;|	2.1	1.13578	[3, 2, 2, 4, 1, 1, 1, 4, 2, 1]
22	(8	2.6	1.0198	[4, 2, 1, 3, 3, 3, 3, 1, 2, 4]
23	(:	2.2	1.16619	[3, 1, 1, 2, 1, 2, 4, 3, 4, 1]
24	(:0	2.4	1.11355	[0, 2, 3, 4, 3, 2, 3, 3, 1, 3]
25	(:<	-0.2	2.03961	[-2, -3, 1, 1, 2, -1, 2, 1, -4, 1]
26	(:o	2.5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
